,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1315010,14238900,JK305345,2026-06-21T21:00:00.000,059XX S RICHMOND ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,824,8,15.0,66.0,05,1157730.0,1865089.0,2026,2026-06-29T15:42:22.000,41.785556201,-87.697232546,"{'latitude': '41.785556201', 'longitude': '-87.697232546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315011,14238980,JK304395,2026-06-21T21:00:00.000,132XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,533,5,9.0,54.0,14,1180318.0,1817267.0,2026,2026-06-29T15:42:22.000,41.653838152,-87.615876004,"{'latitude': '41.653838152', 'longitude': '-87.615876004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315012,14241301,JK308515,2026-06-21T21:00:00.000,070XX S ASHLAND AVE,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,False,False,735,7,17.0,67.0,06,1166897.0,1858031.0,2026,2026-06-29T15:42:22.000,41.765997125,-87.66382344,"{'latitude': '41.765997125', 'longitude': '-87.66382344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315013,14237533,JK303796,2026-06-21T21:05:00.000,062XX S KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,813,8,13.0,65.0,08B,1148110.0,1862901.0,2026,2026-06-29T15:42:22.000,41.779741861,-87.732560418,"{'latitude': '41.779741861', 'longitude': '-87.732560418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315014,14237502,JK303772,2026-06-21T21:07:00.000,074XX N GREENVIEW AVE,0460,BATTERY,SIMPLE,STREET,False,False,2422,24,49.0,1.0,08B,1165009.0,1949250.0,2026,2026-06-29T15:42:22.000,42.016349104,-87.668151653,"{'latitude': '42.016349104', 'longitude': '-87.668151653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315015,14237574,JK303814,2026-06-21T21:11:00.000,070XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,GAS STATION,False,False,332,3,5.0,43.0,08A,1188135.0,1858735.0,2026,2026-06-29T15:42:22.000,41.767448959,-87.585957168,"{'latitude': '41.767448959', 'longitude': '-87.585957168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315016,14238432,JK303798,2026-06-21T21:14:00.000,033XX W POTOMAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1422,14,26.0,23.0,08B,1153912.0,1908453.0,2026,2026-06-29T15:42:22.000,41.904628887,-87.710077397,"{'latitude': '41.904628887', 'longitude': '-87.710077397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315017,14237518,JK303797,2026-06-21T21:22:00.000,071XX S HARVARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,731,7,6.0,69.0,08B,1175194.0,1857603.0,2026,2026-06-29T15:42:22.000,41.764641399,-87.633424905,"{'latitude': '41.764641399', 'longitude': '-87.633424905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315018,14237576,JK303784,2026-06-21T21:22:00.000,100XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,511,5,9.0,49.0,08B,1176056.0,1838457.0,2026,2026-06-29T15:42:22.000,41.712083054,-87.630838284,"{'latitude': '41.712083054', 'longitude': '-87.630838284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315019,14237636,JK303833,2026-06-21T21:25:00.000,110XX S WENTWORTH AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,513,5,9.0,49.0,02,1176910.0,1831549.0,2026,2026-06-29T15:42:22.000,41.693107356,-87.627917936,"{'latitude': '41.693107356', 'longitude': '-87.627917936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315020,14242659,JK309990,2026-06-21T21:29:00.000,071XX S EMERALD AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,732,7,6.0,68.0,04B,1172581.0,1857453.0,2026,2026-06-29T15:42:22.000,41.764287727,-87.643006638,"{'latitude': '41.764287727', 'longitude': '-87.643006638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315021,14237560,JK303817,2026-06-21T21:30:00.000,025XX S SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,1024,10,25.0,30.0,08B,1154769.0,1886928.0,2026,2026-06-29T15:42:22.000,41.845544918,-87.707505885,"{'latitude': '41.845544918', 'longitude': '-87.707505885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
